NM_000014	A2MG_HUMAN	P01023
NM_006044	A0A024QZ26_HUMAN	A0A024QZ26
NM_006044	HDAC6_HUMAN	Q9UBN7
NM_006045	B4DR18_HUMAN	B4DR18
NM_006045	ATP9A_HUMAN	O75110
NM_006045	Q2NLD0_HUMAN	Q2NLD0
NM_001105562	UBE4B_HUMAN	O95155
NM_006048	UBE4B_HUMAN	O95155
NM_006049	A0A024R5X1_HUMAN	A0A024R5X1
NM_006049	SNPC5_HUMAN	O75971
NM_006052	DSCR3_HUMAN	O14972
NM_006019	VPP3_HUMAN	Q13488
NM_006053	VPP3_HUMAN	Q13488
NM_006054	A0A024R5C4_HUMAN	A0A024R5C4
NM_001136574	LANC1_HUMAN	O43813
NM_001136575	LANC1_HUMAN	O43813
NM_006055	LANC1_HUMAN	O43813
NM_001136574	Q53TN2_HUMAN	Q53TN2
NM_001136575	Q53TN2_HUMAN	Q53TN2
NM_006055	Q53TN2_HUMAN	Q53TN2
NM_006056	NMUR1_HUMAN	Q9HB89
NM_001252385	TNIP1_HUMAN	Q15025
NM_001252386	TNIP1_HUMAN	Q15025
NM_001252390	TNIP1_HUMAN	Q15025
NM_001252391	TNIP1_HUMAN	Q15025
NM_001252392	TNIP1_HUMAN	Q15025
NM_001252393	TNIP1_HUMAN	Q15025
NM_001258454	TNIP1_HUMAN	Q15025
NM_001258455	TNIP1_HUMAN	Q15025
NM_001258456	TNIP1_HUMAN	Q15025
NM_006058	TNIP1_HUMAN	Q15025
NM_006059	Q8N2D6_HUMAN	Q8N2D6
NM_006059	LAMC3_HUMAN	Q9Y6N6
NM_001220765	IKZF1_HUMAN	Q13422
NM_001220767	IKZF1_HUMAN	Q13422
NM_001220768	IKZF1_HUMAN	Q13422
NM_001220770	IKZF1_HUMAN	Q13422
NM_001220771	IKZF1_HUMAN	Q13422
NM_001291837	IKZF1_HUMAN	Q13422
NM_001291838	IKZF1_HUMAN	Q13422
NM_001291839	IKZF1_HUMAN	Q13422
NM_001291840	IKZF1_HUMAN	Q13422
NM_001291841	IKZF1_HUMAN	Q13422
NM_001291842	IKZF1_HUMAN	Q13422
NM_001291843	IKZF1_HUMAN	Q13422
NM_001291844	IKZF1_HUMAN	Q13422
NM_006060	IKZF1_HUMAN	Q13422
NM_001220765	R9R4D9_HUMAN	R9R4D9
NM_001220767	R9R4D9_HUMAN	R9R4D9
NM_001220768	R9R4D9_HUMAN	R9R4D9
NM_001220770	R9R4D9_HUMAN	R9R4D9
NM_001220771	R9R4D9_HUMAN	R9R4D9
NM_001291837	R9R4D9_HUMAN	R9R4D9
NM_001291838	R9R4D9_HUMAN	R9R4D9
NM_001291839	R9R4D9_HUMAN	R9R4D9
NM_001291840	R9R4D9_HUMAN	R9R4D9
NM_001291841	R9R4D9_HUMAN	R9R4D9
NM_001291842	R9R4D9_HUMAN	R9R4D9
NM_001291843	R9R4D9_HUMAN	R9R4D9
NM_001291844	R9R4D9_HUMAN	R9R4D9
NM_006060	R9R4D9_HUMAN	R9R4D9
NM_001190986	CRIS3_HUMAN	P54108
NM_006061	CRIS3_HUMAN	P54108
NM_006062	SMYD5_HUMAN	Q6GMV2
NM_006063	KLH41_HUMAN	O60662
NM_001083910	SIRB1_HUMAN	O00241
NM_006065	SIRB1_HUMAN	O00241
NM_001142288	EMC8_HUMAN	O43402
NM_006067	EMC8_HUMAN	O43402
NM_006067	Q53Y03_HUMAN	Q53Y03
NM_006068	B2R933_HUMAN	B2R933
NM_006068	TLR6_HUMAN	Q9Y2C9
NM_001007565	TFG_HUMAN	Q92734
NM_001195478	TFG_HUMAN	Q92734
NM_001195479	TFG_HUMAN	Q92734
NM_006070	TFG_HUMAN	Q92734
NM_006071	PKDRE_HUMAN	Q9NTG1
NM_006072	CCL26_HUMAN	Q9Y258
NM_001256020	TRDN_HUMAN	Q13061
NM_001256022	TRDN_HUMAN	Q13061
NM_006073	TRDN_HUMAN	Q13061
NM_001199573	B4DQS5_HUMAN	B4DQS5
NM_006074	B4DQS5_HUMAN	B4DQS5
NM_001199573	TRI22_HUMAN	Q8IYM9
NM_006074	TRI22_HUMAN	Q8IYM9
NM_006076	A4D2D6_HUMAN	A4D2D6
NM_006076	AGFG2_HUMAN	O95081
NM_001195518	MICU1_HUMAN	Q9BPX6
NM_001195519	MICU1_HUMAN	Q9BPX6
NM_006077	MICU1_HUMAN	Q9BPX6
NM_006078	CCG2_HUMAN	Q9Y698
NM_001168388	D9ZGF1_HUMAN	D9ZGF1
NM_006079	D9ZGF1_HUMAN	D9ZGF1
NM_001168388	CITE2_HUMAN	Q99967
NM_001168389	CITE2_HUMAN	Q99967
NM_006079	CITE2_HUMAN	Q99967
NM_006080	SEM3A_HUMAN	Q14563
NM_006082	TBA1B_HUMAN	P68363
NM_006083	RED_HUMAN	Q13123
NM_006083	Q95HA6_HUMAN	Q95HA6
NM_006083	Q9UK43_HUMAN	Q9UK43
NM_006084	IRF9_HUMAN	Q00978
NM_001286149	BPNT1_HUMAN	O95861
NM_001286150	BPNT1_HUMAN	O95861
NM_001286151	BPNT1_HUMAN	O95861
NM_006085	BPNT1_HUMAN	O95861
NM_006085	V9HWF9_HUMAN	V9HWF9
NM_001197181	TBB3_HUMAN	Q13509
NM_006086	TBB3_HUMAN	Q13509
NM_006086	Q53G92_HUMAN	Q53G92
NM_001289123	TBB4A_HUMAN	P04350
NM_001289127	TBB4A_HUMAN	P04350
NM_001289129	TBB4A_HUMAN	P04350
NM_001289130	TBB4A_HUMAN	P04350
NM_001289131	TBB4A_HUMAN	P04350
NM_006087	TBB4A_HUMAN	P04350
NM_006088	TBB4B_HUMAN	P68371
NM_006089	SCML2_HUMAN	Q9UQR0
NM_001007794	A0A024R0C0_HUMAN	A0A024R0C0
NM_006090	A0A024R0C0_HUMAN	A0A024R0C0
NM_006090	B3KN25_HUMAN	B3KN25
NM_001007794	CEPT1_HUMAN	Q9Y6K0
NM_006090	CEPT1_HUMAN	Q9Y6K0
NM_001190456	COR2B_HUMAN	Q9UQ03
NM_001190457	COR2B_HUMAN	Q9UQ03
NM_006091	COR2B_HUMAN	Q9UQ03
NM_006092	A0A024RA73_HUMAN	A0A024RA73
NM_006092	NOD1_HUMAN	Q9Y239
NM_006093	PRG3_HUMAN	Q9Y2Y8
NM_001105529	AT8A1_HUMAN	Q9Y2Q0
NM_006095	AT8A1_HUMAN	Q9Y2Q0
NM_001135242	NDRG1_HUMAN	Q92597
NM_001258432	NDRG1_HUMAN	Q92597
NM_001258433	NDRG1_HUMAN	Q92597
NM_006096	NDRG1_HUMAN	Q92597
NM_006098	E9KL35_HUMAN	E9KL35
NM_006098	GBLP_HUMAN	P63244
NM_006099	B3KNI3_HUMAN	B3KNI3
NM_006099	PIAS3_HUMAN	Q9Y6X2
NM_001271145	SIA10_HUMAN	Q9Y274
NM_001271146	SIA10_HUMAN	Q9Y274
NM_001271147	SIA10_HUMAN	Q9Y274
NM_006100	SIA10_HUMAN	Q9Y274
NM_006101	A8K031_HUMAN	A8K031
NM_006101	NDC80_HUMAN	O14777
NM_006103	WFDC2_HUMAN	Q14508
NM_001098532	RPGF3_HUMAN	O95398
NM_006105	RPGF3_HUMAN	O95398
NM_001098531	Q99777_HUMAN	Q99777
NM_001098532	Q99777_HUMAN	Q99777
NM_006105	Q99777_HUMAN	Q99777
NM_001130145	Q86T74_HUMAN	Q86T74
NM_001195044	Q86T74_HUMAN	Q86T74
NM_001195045	Q86T74_HUMAN	Q86T74
NM_001282097	Q86T74_HUMAN	Q86T74
NM_001282098	Q86T74_HUMAN	Q86T74
NM_001282099	Q86T74_HUMAN	Q86T74
NM_001282100	Q86T74_HUMAN	Q86T74
NM_001282101	Q86T74_HUMAN	Q86T74
NM_006106	Q86T74_HUMAN	Q86T74
NM_006108	SPON1_HUMAN	Q9HCB6
NM_001039619	ANM5_HUMAN	O14744
NM_001282953	ANM5_HUMAN	O14744
NM_001282955	ANM5_HUMAN	O14744
NM_001282956	ANM5_HUMAN	O14744
NM_006109	ANM5_HUMAN	O14744
NM_001243646	A0A024QZC1_HUMAN	A0A024QZC1
NM_006110	A0A024QZC1_HUMAN	A0A024QZC1
NM_001243646	CD2B2_HUMAN	O95400
NM_006110	CD2B2_HUMAN	O95400
NM_006111	B3KNP8_HUMAN	B3KNP8
NM_006111	THIM_HUMAN	P42765
NM_001079874	VAV3_HUMAN	Q9UKW4
NM_006113	VAV3_HUMAN	Q9UKW4
NM_001128916	A0A024R0P9_HUMAN	A0A024R0P9
NM_001128917	A0A024R0P9_HUMAN	A0A024R0P9
NM_006114	A0A024R0P9_HUMAN	A0A024R0P9
NM_001128916	TOM40_HUMAN	O96008
NM_001128917	TOM40_HUMAN	O96008
NM_006114	TOM40_HUMAN	O96008
NM_006116	A8K6K3_HUMAN	A8K6K3
NM_001166010	A0A0C4DGA2_HUMAN	A0A0C4DGA2
NM_006117	A0A0C4DGA2_HUMAN	A0A0C4DGA2
NM_001018837	HAX1_HUMAN	O00165
NM_006118	HAX1_HUMAN	O00165
NM_006120	Q31604_HUMAN	Q31604
NM_006120	Q6ICR9_HUMAN	Q6ICR9
NM_006121	K2C1_HUMAN	P04264
NM_006122	MA2A2_HUMAN	P49641
NM_006122	Q9P1E4_HUMAN	Q9P1E4
NM_000202	IDS_HUMAN	P22304
NM_001166550	IDS_HUMAN	P22304
NM_006123	IDS_HUMAN	P22304
NM_001287242	Q59HG6_HUMAN	Q59HG6
NM_006125	Q59HG6_HUMAN	Q59HG6
NM_001199	BMP1_HUMAN	P13497
NM_006129	BMP1_HUMAN	P13497
NM_006133	A0A024R517_HUMAN	A0A024R517
NM_006133	DGLA_HUMAN	Q9Y4D2
NM_006134	TM50B_HUMAN	P56557
NM_006135	A0A024R0E5_HUMAN	A0A024R0E5
NM_006135	CAZA1_HUMAN	P52907
NM_006136	A4D0V4_HUMAN	A4D0V4
NM_006136	CAZA2_HUMAN	P47755
NM_006137	CD7_HUMAN	P09564
NM_006137	Q29VG3_HUMAN	Q29VG3
NM_001031666	MS4A3_HUMAN	Q96HJ5
NM_001031809	MS4A3_HUMAN	Q96HJ5
NM_006138	MS4A3_HUMAN	Q96HJ5
NM_001243077	CD28_HUMAN	P10747
NM_001243078	CD28_HUMAN	P10747
NM_006139	CD28_HUMAN	P10747
NM_006141	A0A024R6Z0_HUMAN	A0A024R6Z0
NM_001286157	DC1L2_HUMAN	O43237
NM_006141	DC1L2_HUMAN	O43237
NM_006141	Q63HJ8_HUMAN	Q63HJ8
NM_006142	1433S_HUMAN	P31947
NM_006143	GPR19_HUMAN	Q15760
NM_006143	Q6IBH2_HUMAN	Q6IBH2
NM_006144	GRAA_HUMAN	P12544
NM_001300914	DNJB1_HUMAN	P25685
NM_006145	DNJB1_HUMAN	P25685
NM_006145	Q6FHS4_HUMAN	Q6FHS4
NM_006147	G0Z349_HUMAN	G0Z349
NM_001206696	IRF6_HUMAN	O14896
NM_006147	IRF6_HUMAN	O14896
NM_006148	A0A024R1S8_HUMAN	A0A024R1S8
NM_001271608	LASP1_HUMAN	Q14847
NM_006148	LASP1_HUMAN	Q14847
NM_006149	LEG4_HUMAN	P56470
NM_006149	Q6FHZ4_HUMAN	Q6FHZ4
NM_006150	A0A024QYW5_HUMAN	A0A024QYW5
NM_001307979	B7Z5U0_HUMAN	B7Z5U0
NM_006150	B7Z5U0_HUMAN	B7Z5U0
NM_001307979	B7Z8D2_HUMAN	B7Z8D2
NM_006150	B7Z8D2_HUMAN	B7Z8D2
NM_006150	PRIC3_HUMAN	O43900
NM_001160102	PERL_HUMAN	P22079
NM_006151	PERL_HUMAN	P22079
NM_001204126	LRMP_HUMAN	Q12912
NM_001204127	LRMP_HUMAN	Q12912
NM_006152	LRMP_HUMAN	Q12912
NM_001190796	NCK1_HUMAN	P16333
NM_001291999	NCK1_HUMAN	P16333
NM_006153	NCK1_HUMAN	P16333
NM_001008491	SEPT2_HUMAN	Q15019
NM_001008492	SEPT2_HUMAN	Q15019
NM_001282972	SEPT2_HUMAN	Q15019
NM_001282973	SEPT2_HUMAN	Q15019
NM_004404	SEPT2_HUMAN	Q15019
NM_006155	SEPT2_HUMAN	Q15019
NM_006156	NEDD8_HUMAN	Q15843
NM_006158	NFL_HUMAN	P07196
NM_001145108	A0A024R0X1_HUMAN	A0A024R0X1
NM_006159	A0A024R0X1_HUMAN	A0A024R0X1
NM_001145107	NELL2_HUMAN	Q99435
NM_001145108	NELL2_HUMAN	Q99435
NM_001145109	NELL2_HUMAN	Q99435
NM_001145110	NELL2_HUMAN	Q99435
NM_006159	NELL2_HUMAN	Q99435
NM_006160	NDF2_HUMAN	Q15784
NM_006161	F1T0H3_HUMAN	F1T0H3
NM_006161	NGN1_HUMAN	Q92886
NM_001136023	A8K3E0_HUMAN	A8K3E0
NM_001261461	A8K3E0_HUMAN	A8K3E0
NM_006163	A8K3E0_HUMAN	A8K3E0
NM_001136023	NFE2_HUMAN	Q16621
NM_001261461	NFE2_HUMAN	Q16621
NM_006163	NFE2_HUMAN	Q16621
NM_001145412	NF2L2_HUMAN	Q16236
NM_001145413	NF2L2_HUMAN	Q16236
NM_006164	NF2L2_HUMAN	Q16236
NM_001143835	NFRKB_HUMAN	Q6P4R8
NM_006165	NFRKB_HUMAN	Q6P4R8
NM_006166	A0A024RBG7_HUMAN	A0A024RBG7
NM_006166	NFYB_HUMAN	P25208
NM_001256339	NKX31_HUMAN	Q99801
NM_006167	NKX31_HUMAN	Q99801
NM_006168	NKX61_HUMAN	P78426
NM_006169	NNMT_HUMAN	P40261
NM_006169	Q6FH49_HUMAN	Q6FH49
NM_001033714	NOP2_HUMAN	P46087
NM_001258308	NOP2_HUMAN	P46087
NM_001258309	NOP2_HUMAN	P46087
NM_001258310	NOP2_HUMAN	P46087
NM_006170	NOP2_HUMAN	P46087
NM_006172	ANF_HUMAN	P01160
NM_006174	NPY5R_HUMAN	Q15761
NM_001126181	A0A024R3M7_HUMAN	A0A024R3M7
NM_006176	A0A024R3M7_HUMAN	A0A024R3M7
NM_001126181	NEUG_HUMAN	Q92686
NM_006176	NEUG_HUMAN	Q92686
NM_006177	NRL_HUMAN	P54845
NM_006178	NSF_HUMAN	P46459
NM_006179	A0A024QZE4_HUMAN	A0A024QZE4
NM_006179	NTF4_HUMAN	P34130
NM_006180	A0A024R230_HUMAN	A0A024R230
NM_001007097	NTRK2_HUMAN	Q16620
NM_001018064	NTRK2_HUMAN	Q16620
NM_001018065	NTRK2_HUMAN	Q16620
NM_001018066	NTRK2_HUMAN	Q16620
NM_006180	NTRK2_HUMAN	Q16620
NM_001007097	Q5VWE5_HUMAN	Q5VWE5
NM_001018064	Q5VWE5_HUMAN	Q5VWE5
NM_006180	Q5VWE5_HUMAN	Q5VWE5
NM_006181	NET3_HUMAN	O00634
NM_001014796	A0A024R906_HUMAN	A0A024R906
NM_006182	A0A024R906_HUMAN	A0A024R906
NM_001014796	DDR2_HUMAN	Q16832
NM_006182	DDR2_HUMAN	Q16832
NM_006183	NEUT_HUMAN	P30990
NM_006183	Q6FH20_HUMAN	Q6FH20
NM_006184	A8K7Q1_HUMAN	A8K7Q1
NM_006184	NUCB1_HUMAN	Q02818
NM_001286561	NUMA1_HUMAN	Q14980
NM_006185	NUMA1_HUMAN	Q14980
NM_006185	Q3SYK8_HUMAN	Q3SYK8
NM_001286561	Q4LE64_HUMAN	Q4LE64
NM_006185	Q4LE64_HUMAN	Q4LE64
NM_006186	F1D8N6_HUMAN	F1D8N6
NM_006186	NR4A2_HUMAN	P43354
NM_006186	Q53EL4_HUMAN	Q53EL4
NM_006187	OAS3_HUMAN	Q9Y6K5
NM_006188	OCM2_HUMAN	P0CE71
NM_006189	OMP_HUMAN	P47874
NM_006190	A0A024R411_HUMAN	A0A024R411
NM_006190	ORC2_HUMAN	Q13416
NM_006191	A0A024RB85_HUMAN	A0A024RB85
NM_006191	PA2G4_HUMAN	Q9UQ80
NM_006192	PAX1_HUMAN	P15863
NM_006193	PAX4_HUMAN	O43316
NM_006194	PAX9_HUMAN	P55771
NM_006194	Q2L4T1_HUMAN	Q2L4T1
NM_001134778	PBX3_HUMAN	P40426
NM_006195	PBX3_HUMAN	P40426
NM_006195	Q96AL5_HUMAN	Q96AL5
NM_006196	PCBP1_HUMAN	Q15365
NM_006196	Q53SS8_HUMAN	Q53SS8
NM_006197	A2RUU9_HUMAN	A2RUU9
NM_006197	PCM1_HUMAN	Q15154
NM_006198	PCP4_HUMAN	P48539
NM_001190482	PCSK5_HUMAN	Q92824
NM_006200	PCSK5_HUMAN	Q92824
NM_001170460	Q9BRL4_HUMAN	Q9BRL4
NM_006201	Q9BRL4_HUMAN	Q9BRL4
NM_001111307	PDE4A_HUMAN	P27815
NM_001111308	PDE4A_HUMAN	P27815
NM_001111309	PDE4A_HUMAN	P27815
NM_001243121	PDE4A_HUMAN	P27815
NM_006202	PDE4A_HUMAN	P27815
NM_001104631	PDE4D_HUMAN	Q08499
NM_001165899	PDE4D_HUMAN	Q08499
NM_001197218	PDE4D_HUMAN	Q08499
NM_001197219	PDE4D_HUMAN	Q08499
NM_001197220	PDE4D_HUMAN	Q08499
NM_001197221	PDE4D_HUMAN	Q08499
NM_001197222	PDE4D_HUMAN	Q08499
NM_001197223	PDE4D_HUMAN	Q08499
NM_006203	PDE4D_HUMAN	Q08499
NM_006204	PDE6C_HUMAN	P51160
NM_006205	CNCG_HUMAN	Q13956
NM_006206	PGFRA_HUMAN	P16234
NM_006207	PGFRL_HUMAN	Q15198
NM_006208	ENPP1_HUMAN	P22413
NM_001040092	ENPP2_HUMAN	Q13822
NM_001130863	ENPP2_HUMAN	Q13822
NM_006209	ENPP2_HUMAN	Q13822
NM_001146184	PEG3_HUMAN	Q9GZU2
NM_001146185	PEG3_HUMAN	Q9GZU2
NM_001146186	PEG3_HUMAN	Q9GZU2
NM_001146187	PEG3_HUMAN	Q9GZU2
NM_006210	PEG3_HUMAN	Q9GZU2
NM_001018053	F262_HUMAN	O60825
NM_006212	F262_HUMAN	O60825
NM_006213	A0A024RDL4_HUMAN	A0A024RDL4
NM_001258459	PHKG1_HUMAN	Q16816
NM_006213	PHKG1_HUMAN	Q16816
NM_001037537	PAHX_HUMAN	O14832
NM_006214	PAHX_HUMAN	O14832
NM_001289033	A0A024R6I9_HUMAN	A0A024R6I9
NM_006215	A0A024R6I9_HUMAN	A0A024R6I9
NM_001289032	KAIN_HUMAN	P29622
NM_001289033	KAIN_HUMAN	P29622
NM_006215	KAIN_HUMAN	P29622
NM_006216	A0A024R451_HUMAN	A0A024R451
NM_001136528	GDN_HUMAN	P07093
NM_001136530	GDN_HUMAN	P07093
NM_006216	GDN_HUMAN	P07093
NM_001012303	B4DDY9_HUMAN	B4DDY9
NM_006217	B4DDY9_HUMAN	B4DDY9
NM_001012303	SPI2_HUMAN	O75830
NM_006217	SPI2_HUMAN	O75830
NM_006218	PK3CA_HUMAN	P42336
NM_006219	PK3CB_HUMAN	P42338
NM_006220	A0A0G2JPK4_HUMAN	A0A0G2JPK4
NM_006220	S4UD68_HUMAN	S4UD68
NM_006221	PIN1_HUMAN	Q13526
NM_001170747	PIN4_HUMAN	Q9Y237
NM_006223	PIN4_HUMAN	Q9Y237
NM_006224	PIPNA_HUMAN	Q00169
NM_006224	V9HWC5_HUMAN	V9HWC5
NM_006225	A8K8F9_HUMAN	A8K8F9
NM_001130964	PLCD1_HUMAN	P51178
NM_006225	PLCD1_HUMAN	P51178
NM_006226	PLCL1_HUMAN	Q15111
NM_001284244	PNOC_HUMAN	Q13519
NM_006228	PNOC_HUMAN	Q13519
NM_001303135	LIPR1_HUMAN	P54315
NM_006229	LIPR1_HUMAN	P54315
NM_006230	A0A087WWF6_HUMAN	A0A087WWF6
NM_001127218	DPOD2_HUMAN	P49005
NM_001256879	DPOD2_HUMAN	P49005
NM_006230	DPOD2_HUMAN	P49005
NM_006231	DPOE1_HUMAN	Q07864
NM_001278698	RPAB3_HUMAN	P52434
NM_001278699	RPAB3_HUMAN	P52434
NM_001278700	RPAB3_HUMAN	P52434
NM_001278714	RPAB3_HUMAN	P52434
NM_001278715	RPAB3_HUMAN	P52434
NM_006232	RPAB3_HUMAN	P52434
NM_006233	RPB9_HUMAN	P36954
NM_006234	RPB11_HUMAN	P52435
NM_006235	OBF1_HUMAN	Q16633
NM_006236	PO3F3_HUMAN	P20264
NM_006237	PO4F1_HUMAN	Q01851
NM_001171818	A0A024RCW6_HUMAN	A0A024RCW6
NM_006238	A0A024RCW6_HUMAN	A0A024RCW6
NM_006239	PPE2_HUMAN	O14830
NM_006240	A0A024RBZ9_HUMAN	A0A024RBZ9
NM_006241	IPP2_HUMAN	P41236
NM_006242	PPR3D_HUMAN	O95685
NM_006242	Q86X09_HUMAN	Q86X09
NM_001199756	2A5A_HUMAN	Q15172
NM_006243	2A5A_HUMAN	Q15172
NM_006244	A0A024R593_HUMAN	A0A024R593
NM_006244	2A5B_HUMAN	Q15173
NM_006245	A0A024RD11_HUMAN	A0A024RD11
NM_001282179	2A5E_HUMAN	Q16537
NM_001282180	2A5E_HUMAN	Q16537
NM_001282181	2A5E_HUMAN	Q16537
NM_001282182	2A5E_HUMAN	Q16537
NM_006246	2A5E_HUMAN	Q16537
NM_006247	A0A024R0Q7_HUMAN	A0A024R0Q7
NM_006247	PPP5_HUMAN	P53041
NM_006249	A0A0G2JNB4_HUMAN	A0A0G2JNB4
NM_006252	AAPK2_HUMAN	P54646
NM_006253	A0A024RBN1_HUMAN	A0A024RBN1
NM_006253	AAKB1_HUMAN	Q9Y478
NM_006255	KPCL_HUMAN	P24723
NM_006256	PKN2_HUMAN	Q16513
NM_001242413	KPCT_HUMAN	Q04759
NM_001282644	KPCT_HUMAN	Q04759
NM_001282645	KPCT_HUMAN	Q04759
NM_006257	KPCT_HUMAN	Q04759
NM_001098512	KGP1_HUMAN	Q13976
NM_006258	KGP1_HUMAN	Q13976
NM_001282480	KGP2_HUMAN	Q13237
NM_001282481	KGP2_HUMAN	Q13237
NM_001282482	KGP2_HUMAN	Q13237
NM_001282483	KGP2_HUMAN	Q13237
NM_001282485	KGP2_HUMAN	Q13237
NM_006259	KGP2_HUMAN	Q13237
NM_006260	A8KA82_HUMAN	A8KA82
NM_006260	DNJC3_HUMAN	Q13217
NM_006261	A0A0G2JQ02_HUMAN	A0A0G2JQ02
NM_006261	PROP1_HUMAN	O75360
NM_006262	B3KWQ6_HUMAN	B3KWQ6
NM_006262	PERI_HUMAN	P41219
NM_001281528	PSME1_HUMAN	Q06323
NM_006263	PSME1_HUMAN	Q06323
NM_006265	A0A024R9J0_HUMAN	A0A024R9J0
NM_006265	RAD21_HUMAN	O60216
NM_001042368	GNDS_HUMAN	Q12967
NM_001271774	GNDS_HUMAN	Q12967
NM_001271775	GNDS_HUMAN	Q12967
NM_001271776	GNDS_HUMAN	Q12967
NM_006266	GNDS_HUMAN	Q12967
NM_001042368	Q8N4Y1_HUMAN	Q8N4Y1
NM_001271774	Q8N4Y1_HUMAN	Q8N4Y1
NM_001271775	Q8N4Y1_HUMAN	Q8N4Y1
NM_001271776	Q8N4Y1_HUMAN	Q8N4Y1
NM_006266	Q8N4Y1_HUMAN	Q8N4Y1
NM_006267	RBP2_HUMAN	P49792
NM_006268	A0A024R582_HUMAN	A0A024R582
NM_006268	REQU_HUMAN	Q92785
NM_006269	RP1_HUMAN	P56715
NM_006270	A0A024QZF2_HUMAN	A0A024QZF2
NM_006270	RRAS_HUMAN	P10301
NM_006271	S10A1_HUMAN	P23297
NM_006272	S100B_HUMAN	P04271
NM_006273	CCL7_HUMAN	P80098
NM_006274	Q6IBD6_HUMAN	Q6IBD6
NM_006274	CCL19_HUMAN	Q99731
NM_006275	SRSF6_HUMAN	Q13247
NM_001254757	SIA4C_HUMAN	Q11206
NM_001254758	SIA4C_HUMAN	Q11206
NM_001254759	SIA4C_HUMAN	Q11206
NM_006278	SIA4C_HUMAN	Q11206
NM_006278	Q6IBE6_HUMAN	Q6IBE6
NM_001204526	SSRD_HUMAN	P51571
NM_006280	SSRD_HUMAN	P51571
NM_001256312	STK3_HUMAN	Q13188
NM_006281	STK3_HUMAN	Q13188
NM_006282	STK4_HUMAN	Q13043
NM_001122824	TACC1_HUMAN	O75410
NM_001146216	TACC1_HUMAN	O75410
NM_006283	TACC1_HUMAN	O75410
NM_006284	TAF10_HUMAN	Q12962
NM_006285	TESK1_HUMAN	Q15569
NM_006285	Q8NFJ4_HUMAN	Q8NFJ4
NM_001178138	TFDP2_HUMAN	Q14188
NM_001178139	TFDP2_HUMAN	Q14188
NM_001178140	TFDP2_HUMAN	Q14188
NM_001178141	TFDP2_HUMAN	Q14188
NM_001178142	TFDP2_HUMAN	Q14188
NM_006286	TFDP2_HUMAN	Q14188
NM_001032281	TFPI1_HUMAN	P10646
NM_006287	TFPI1_HUMAN	P10646
NM_006288	B0YJA4_HUMAN	B0YJA4
NM_006288	THY1_HUMAN	P04216
NM_006289	TLN1_HUMAN	Q9Y490
NM_001270507	TNAP3_HUMAN	P21580
NM_001270508	TNAP3_HUMAN	P21580
NM_006290	TNAP3_HUMAN	P21580
NM_006291	TNAP2_HUMAN	Q03169
NM_006292	TS101_HUMAN	Q99816
NM_006293	TYRO3_HUMAN	Q06418
NM_001199975	QCR7_HUMAN	P14927
NM_001254752	QCR7_HUMAN	P14927
NM_006294	QCR7_HUMAN	P14927
NM_006295	A0A024RCN6_HUMAN	A0A024RCN6
NM_006295	SYVC_HUMAN	P26640
NM_001130480	VRK2_HUMAN	Q86Y07
NM_001130481	VRK2_HUMAN	Q86Y07
NM_001130482	VRK2_HUMAN	Q86Y07
NM_001130483	VRK2_HUMAN	Q86Y07
NM_001288836	VRK2_HUMAN	Q86Y07
NM_001288837	VRK2_HUMAN	Q86Y07
NM_001288838	VRK2_HUMAN	Q86Y07
NM_001288839	VRK2_HUMAN	Q86Y07
NM_006296	VRK2_HUMAN	Q86Y07
NM_006297	B2RCY5_HUMAN	B2RCY5
NM_006297	XRCC1_HUMAN	P18887
NM_006297	Q59HH7_HUMAN	Q59HH7
NM_001278119	A0A024RCK7_HUMAN	A0A024RCK7
NM_006298	A0A024RCK7_HUMAN	A0A024RCK7
NM_001278119	ZKSC8_HUMAN	Q15776
NM_001278121	ZKSC8_HUMAN	Q15776
NM_006298	ZKSC8_HUMAN	Q15776
NM_001278119	Q59HG5_HUMAN	Q59HG5
NM_001278122	Q59HG5_HUMAN	Q59HG5
NM_006298	Q59HG5_HUMAN	Q59HG5
NM_001199480	A0A024RCK9_HUMAN	A0A024RCK9
NM_006299	A0A024RCK9_HUMAN	A0A024RCK9
NM_001199479	ZSC9_HUMAN	O15535
NM_001199480	ZSC9_HUMAN	O15535
NM_006299	ZSC9_HUMAN	O15535
NM_006300	ZN230_HUMAN	Q9UIE0
NM_006301	A0A024RAY5_HUMAN	A0A024RAY5
NM_001193511	M3K12_HUMAN	Q12852
NM_006301	M3K12_HUMAN	Q12852
NM_001146158	MOGS_HUMAN	Q13724
NM_006302	MOGS_HUMAN	Q13724
NM_006303	A0A024QZY1_HUMAN	A0A024QZY1
NM_006303	AIMP2_HUMAN	Q13155
NM_006304	DSS1_HUMAN	P60896
NM_006304	Q6IBB7_HUMAN	Q6IBB7
NM_006305	AN32A_HUMAN	P39687
NM_006306	SMC1A_HUMAN	Q14683
NM_006306	Q68EN4_HUMAN	Q68EN4
NM_001170750	SRPX_HUMAN	P78539
NM_001170751	SRPX_HUMAN	P78539
NM_001170752	SRPX_HUMAN	P78539
NM_006307	SRPX_HUMAN	P78539
NM_006308	HSPB3_HUMAN	Q12988
NM_006308	Q6ICS9_HUMAN	Q6ICS9
NM_006310	PSA_HUMAN	P55786
NM_006311	A0A024RD47_HUMAN	A0A024RD47
