P01023	A2MG_HUMAN	NM_000014
B8XYC5	B8XYC5_HUMAN	NM_001204090,NM_016468
Q9P0S2	COX16_HUMAN	NM_016468
Q9NX31	OSER1_HUMAN	NM_016470
A0A024R6P6	A0A024R6P6_HUMAN	NM_001271904,NM_001271905,NM_001271906,NM_016472
Q9P0R6	GSKIP_HUMAN	NM_001271904,NM_001271905,NM_001271906,NM_016472
Q6PII3	CC174_HUMAN	NM_016474
Q9P055	JKAMP_HUMAN	NM_001098625,NM_001284201,NM_001284202,NM_001284203,NM_001284204,NM_016475
Q9NYG5	APC11_HUMAN	NM_001002244,NM_001002245,NM_001002246,NM_001002247,NM_001002248,NM_001002249,NM_001289414,NM_001289415,NM_001289416,NM_001289417,NM_001289420,NM_016476
Q86WB0	NIPA_HUMAN	NM_001282190,NM_001282191,NM_016478
Q8N114	SHSA5_HUMAN	NM_001272065,NM_001272066,NM_001272067,NM_001272068,NM_001272082,NM_001272083,NM_016479
Q49AE6	Q49AE6_HUMAN	NM_001033112,NM_016480
Q9BPZ3	PAIP2_HUMAN	NM_001033112,NM_016480
Q9BU70	NAP1_HUMAN	NM_016481
A0A024R336	A0A024R336_HUMAN	NM_016483
Q9BWX1	PHF7_HUMAN	NM_001278221,NM_016483
Q5EBL8	PDZ11_HUMAN	NM_016484
Q9NP79	VTA1_HUMAN	NM_001286371,NM_001286372,NM_016485
Q5SWH9	TMM69_HUMAN	NM_016486
Q9P0P8	CF203_HUMAN	NM_001142468,NM_001142470,NM_016487
A0A024RA81	A0A024RA81_HUMAN	NM_001002009,NM_016489
Q9H0P0	5NT3A_HUMAN	NM_001002009,NM_001002010,NM_001166118,NM_016489
Q8IXR5	F178B_HUMAN	NM_001122646,NM_001172667,NM_016490
Q9BZE1	RM37_HUMAN	NM_016491
Q9HD47	MOG1_HUMAN	NM_001177801,NM_001177802,NM_016492
Q9P0P0	RN181_HUMAN	NM_016494
A0A024QZX0	A0A024QZX0_HUMAN	NM_001143964,NM_001143965,NM_016495
Q9P0N9	TBCD7_HUMAN	NM_001143964,NM_001143965,NM_001143966,NM_001258457,NM_016495
Q9P0N8	MARH2_HUMAN	NM_001005415,NM_001005416,NM_016496
Q4U2R6	RM51_HUMAN	NM_016497
A0A024R1E4	A0A024R1E4_HUMAN	NM_016498
Q9UDX5	MTFP1_HUMAN	NM_001003704,NM_016498
Q9P0N5	TM216_HUMAN	NM_001173990,NM_001173991,NM_016499
Q9BVG4	PBDC1_HUMAN	NM_001300888,NM_016500
Q9P0M9	RM27_HUMAN	NM_016504
B4DYA9	B4DYA9_HUMAN	NM_001282567,NM_001282568,NM_001282571,NM_001282572,NM_001282573,NM_001282574,NM_016505
Q9NP64	NO40_HUMAN	NM_001282566,NM_001282567,NM_001282568,NM_001282569,NM_001282570,NM_001282571,NM_001282572,NM_001282573,NM_001282574,NM_016505
Q9NYV4	CDK12_HUMAN	NM_015083,NM_016507
Q8IVW4	CDKL3_HUMAN	NM_001113575,NM_001300853,NM_016508
Q9P126	CLC1B_HUMAN	NM_001099431,NM_016509
A0A0A0MQU4	A0A0A0MQU4_HUMAN	NM_016510
B4DDP9	B4DDP9_HUMAN	NM_016510
Q59FK2	Q59FK2_HUMAN	NM_016510
Q96I15	SCLY_HUMAN	NM_016510
Q8NC01	CLC1A_HUMAN	NM_001297748,NM_001297749,NM_001297750,NM_001297751,NM_016511
A0A024RD59	A0A024RD59_HUMAN	NM_014920,NM_016513
B3KQG4	B3KQG4_HUMAN	NM_016513
Q9UPZ9	ICK_HUMAN	NM_014920,NM_016513
Q9P1Q0	VPS54_HUMAN	NM_001005739,NM_016516
Q9P0Z9	SOX_HUMAN	NM_016518
Q546D7	Q546D7_HUMAN	NM_016519
Q9NP70	AMBN_HUMAN	NM_016519
Q9NZ63	CI078_HUMAN	NM_016520
Q5H9I0	TFDP3_HUMAN	NM_016521
Q9P121	NTRI_HUMAN	NM_001048209,NM_001144058,NM_001144059,NM_016522
A0A0C4DGY9	A0A0C4DGY9_HUMAN	NM_016523
Q9NZS2	KLRF1_HUMAN	NM_001291822,NM_001291823,NM_016523
Q9BSW7	SYT17_HUMAN	NM_016524
Q9NZ09	UBAP1_HUMAN	NM_001171201,NM_001171202,NM_001171203,NM_001171204,NM_016525
A0A0C4DH16	A0A0C4DH16_HUMAN	NM_016526
Q9NYQ3	HAOX2_HUMAN	NM_001005783,NM_016527
Q6ZSP3	Q6ZSP3_HUMAN	NM_016529
Q6ZU25	Q6ZU25_HUMAN	NM_016529
Q9NTI2	AT8A2_HUMAN	NM_016529
Q92930	RAB8B_HUMAN	NM_016530
A0A024R9T8	A0A024R9T8_HUMAN	NM_016531
P57682	KLF3_HUMAN	NM_016531
B4DJC1	B4DJC1_HUMAN	NM_016533
Q9NZG7	NINJ2_HUMAN	NM_001294345,NM_001294346,NM_016533
Q9P0T4	ZN581_HUMAN	NM_016535
A0A024R0L0	A0A024R0L0_HUMAN	NM_001290314,NM_016536
Q7Z3V5	ZN571_HUMAN	NM_001290314,NM_016536
Q9NRC8	SIR7_HUMAN	NM_016538
Q8N6T7	SIR6_HUMAN	NM_001193285,NM_016539
Q9NYM4	GPR83_HUMAN	NM_016540
Q9P2W3	GBG13_HUMAN	NM_016541
Q9P289	STK26_HUMAN	NM_001042452,NM_001042453,NM_016542
Q9Y286	SIGL7_HUMAN	NM_001277201,NM_014385,NM_016543
Q9NZQ0	DJC27_HUMAN	NM_001198559,NM_016544
Q5VY09	IER5_HUMAN	NM_016545
Q9NZP8	C1RL_HUMAN	NM_001297640,NM_016546
A0A024R0A9	A0A024R0A9_HUMAN	NM_016547
Q9BRK5	CAB45_HUMAN	NM_016176,NM_016547
Q9NS93	TM7S3_HUMAN	NM_016551
Q9P2W1	HOP2_HUMAN	NM_001256014,NM_001256015,NM_001256016,NM_013290,NM_016556
P57086	SCND1_HUMAN	NM_016558
Q8IYB4	PEX5R_HUMAN	NM_001256750,NM_001256751,NM_001256752,NM_001256753,NM_001256754,NM_001256755,NM_001256756,NM_016559
Q9NZS9	BFAR_HUMAN	NM_016561
B2R9N9	B2R9N9_HUMAN	NM_016562
Q9NYK1	TLR7_HUMAN	NM_016562
A0A024R5Y3	A0A024R5Y3_HUMAN	NM_016563
Q9NYN1	RASLC_HUMAN	NM_001307930,NM_016563
Q8N111	CEND_HUMAN	NM_016564
A0A024R5J6	A0A024R5J6_HUMAN	NM_016565
Q9NYJ1	COA4_HUMAN	NM_016565
Q9NSD7	RL3R1_HUMAN	NM_016568
A0A024RBL6	A0A024RBL6_HUMAN	NM_016569
O15119	TBX3_HUMAN	NM_005996,NM_016569
A0A024RB08	A0A024RB08_HUMAN	NM_016570
Q86TD3	Q86TD3_HUMAN	NM_016570
Q96RQ1	ERGI2_HUMAN	NM_016570
Q5TDP6	LGSN_HUMAN	NM_001143940,NM_016571
A0A024R7N1	A0A024R7N1_HUMAN	NM_016573
B4DLZ1	B4DLZ1_HUMAN	NM_001288998,NM_001288999,NM_016573
Q9P107	GMIP_HUMAN	NM_001288998,NM_001288999,NM_016573
A0A024R3I6	A0A024R3I6_HUMAN	NM_016574
P14416	DRD2_HUMAN	NM_000795,NM_016574
Q9P2T1	GMPR2_HUMAN	NM_001002000,NM_001002001,NM_001002002,NM_001283021,NM_001283022,NM_001283023,NM_016576
Q9NRW1	RAB6B_HUMAN	NM_016577
Q05DG0	Q05DG0_HUMAN	NM_016578
Q96T23	RSF1_HUMAN	NM_016578
Q9NPF0	CD320_HUMAN	NM_001165895,NM_016579
Q9NPG4	PCD12_HUMAN	NM_016580
Q9BQ95	ECSIT_HUMAN	NM_001142464,NM_001142465,NM_001243204,NM_016581
Q8IY34	S15A3_HUMAN	NM_016582
Q9NPF7	IL23A_HUMAN	NM_016584
B2RCV0	B2RCV0_HUMAN	NM_001308110,NM_016586
Q9NS73	MBIP1_HUMAN	NM_001144891,NM_001308110,NM_016586
A4D177	A4D177_HUMAN	NM_007276,NM_016587
Q13185	CBX3_HUMAN	NM_007276,NM_016587
Q9NPD7	NRN1_HUMAN	NM_001278710,NM_001278711,NM_016588
Q9NPL8	TIDC1_HUMAN	NM_016589
Q9P109	GCNT4_HUMAN	NM_016591
O95467	GNAS3_HUMAN	NM_016592
Q9NYL5	CP39A_HUMAN	NM_001278738,NM_001278739,NM_016593
Q9NYL4	FKB11_HUMAN	NM_001143781,NM_001143782,NM_016594
Q9NYG2	ZDHC3_HUMAN	NM_001135179,NM_016598
Q9NPC6	MYOZ2_HUMAN	NM_016599
P46092	CCR10_HUMAN	NM_016602
Q9NYF5	FA13B_HUMAN	NM_001101800,NM_001101801,NM_016603
Q7LBC6	KDM3B_HUMAN	NM_016604
Q9NYF3	FA53C_HUMAN	NM_001135647,NM_016605
A8K3D2	A8K3D2_HUMAN	NM_001271803,NM_016606
Q9BRK0	REEP2_HUMAN	NM_001271803,NM_016606
A0A024RCI6	A0A024RCI6_HUMAN	NM_016608
Q9P291	ARMX1_HUMAN	NM_016608
Q9NYZ2	MFRN1_HUMAN	NM_016612
Q6UWH4	F198B_HUMAN	NM_001031700,NM_001128424,NM_016613
Q9NYZ0	Q9NYZ0_HUMAN	NM_001031700,NM_001128424,NM_016613
O95551	TYDP2_HUMAN	NM_016614
Q9NSD5	S6A13_HUMAN	NM_001190997,NM_001243392,NM_016615
Q8N427	TXND3_HUMAN	NM_016616
P61960	UFM1_HUMAN	NM_001286703,NM_001286704,NM_001286705,NM_001286706,NM_016617
A0A024R5P4	A0A024R5P4_HUMAN	NM_001304526,NM_016618
Q9NPI7	KRCC1_HUMAN	NM_001304526,NM_016618
Q9NZF1	PLAC8_HUMAN	NM_001130715,NM_001130716,NM_016619
X2BQ60	X2BQ60_HUMAN	NM_001130715,NM_001130716,NM_016619
Q96BD5	PF21A_HUMAN	NM_001101802,NM_016621
A0A024R9G4	A0A024R9G4_HUMAN	NM_001256763,NM_016623
Q9NUQ9	FA49B_HUMAN	NM_001256763,NM_016623
Q96IZ7	RSRC1_HUMAN	NM_001271834,NM_001271838,NM_016625
Q5U5Q3	MEX3C_HUMAN	NM_016626
Q86W34	AMZ2_HUMAN	NM_001033569,NM_001033570,NM_001033571,NM_001033572,NM_001033574,NM_001289054,NM_001289056,NM_016627
A0A024R5Y1	A0A024R5Y1_HUMAN	NM_001127889,NM_016630
Q9NZD8	SPG21_HUMAN	NM_001127889,NM_001127890,NM_016630
Q8N6E6	Q8N6E6_HUMAN	NM_013329,NM_016631
Q9Y5B6	PAXB1_HUMAN	NM_013329,NM_016631
Q8IVW1	ARL17_HUMAN	NM_001039083,NM_001103154,NM_001113738,NM_001288812,NM_016632
Q549J4	Q549J4_HUMAN	NM_016633
Q9NZD4	AHSP_HUMAN	NM_016633
Q9NP84	TNR12_HUMAN	NM_016639
Q9NP92	RT30_HUMAN	NM_016640
Q9NZC3	GDE1_HUMAN	NM_016641
Q9NRC6	SPTN5_HUMAN	NM_016642
B2R9V3	B2R9V3_HUMAN	NM_001142305,NM_016643
Q7L3S4	ZN771_HUMAN	NM_001142305,NM_016643
Q569H4	LARGN_HUMAN	NM_001300783,NM_001308087,NM_001308088,NM_016644
Q8WUY1	THEM6_HUMAN	NM_016647
Q4G0J3	LARP7_HUMAN	NM_001267039,NM_015454,NM_016648
Q9H501	ESF1_HUMAN	NM_001276380,NM_016649
Q9NYF0	DACT1_HUMAN	NM_001079520,NM_016651
Q69YP1	Q69YP1_HUMAN	NM_001278625,NM_001278626,NM_001278627,NM_001278628,NM_016652
Q9BZJ0	CRNL1_HUMAN	NM_001278625,NM_001278626,NM_001278627,NM_001278628,NM_016652
A0A024R5X6	A0A024R5X6_HUMAN	NM_016654
Q5VZM2	RRAGB_HUMAN	NM_006064,NM_016656
O43731	ERD23_HUMAN	NM_006855,NM_016657
A0A024R5H1	A0A024R5H1_HUMAN	NM_000802,NM_016724,NM_016725,NM_016729
P15328	FOLR1_HUMAN	NM_000802,NM_016724,NM_016725,NM_016729
Q53GL6	Q53GL6_HUMAN	NM_016732
Q9UKM9	RALY_HUMAN	NM_007367,NM_016732
A0A024R1M2	A0A024R1M2_HUMAN	NM_016733
P53671	LIMK2_HUMAN	NM_001031801,NM_005569,NM_016733
Q02548	PAX5_HUMAN	NM_001280547,NM_001280548,NM_001280549,NM_001280550,NM_001280552,NM_001280553,NM_001280554,NM_001280555,NM_001280556,NM_016734
P04921	GLPC_HUMAN	NM_001256584,NM_002101,NM_016815
P00973	OAS1_HUMAN	NM_001032409,NM_002534,NM_016816
P29728	OAS2_HUMAN	NM_001032731,NM_002535,NM_016817
E5KPN0	E5KPN0_HUMAN	NM_016820
E5KPM5	E5KPM5_HUMAN	NM_016821
L7RT18	L7RT18_HUMAN	NM_016823
P46108	CRK_HUMAN	NM_005206,NM_016823
Q5VU08	Q5VU08_HUMAN	NM_016824
E5KPM6	E5KPM6_HUMAN	NM_016826
E5KPM8	E5KPM8_HUMAN	NM_016827
E5KPM7	E5KPM7_HUMAN	NM_016828
E5KPM9	E5KPM9_HUMAN	NM_016829
O15527	OGG1_HUMAN	NM_002542,NM_016819,NM_016820,NM_016821,NM_016826,NM_016827,NM_016828,NM_016829
A2I2N5	A2I2N5_HUMAN	NM_016831
P56645	PER3_HUMAN	NM_001289861,NM_001289862,NM_001289863,NM_001289864,NM_016831
A0A024R9Y0	A0A024R9Y0_HUMAN	NM_016834
A0A024R9Y1	A0A024R9Y1_HUMAN	NM_016835
P29558	RBMS1_HUMAN	NM_002897,NM_016836
P10636	TAU_HUMAN	NM_001123066,NM_001123067,NM_001203252,NM_005910,NM_016834,NM_016835,NM_016841
Q92529	SHC3_HUMAN	NM_016848
Q53G01	Q53G01_HUMAN	NM_001114086,NM_016929
Q9NZA1	CLIC5_HUMAN	NM_001114086,NM_001256023,NM_016929
Q9P2W9	STX18_HUMAN	NM_016930
Q9NPH5	NOX4_HUMAN	NM_001143836,NM_001143837,NM_001291926,NM_001291927,NM_001300995,NM_016931
Q8TBA2	Q8TBA2_HUMAN	NM_016932
Q9NPC8	SIX2_HUMAN	NM_016932
P09884	DPOLA_HUMAN	NM_016937
A0A024R5G1	A0A024R5G1_HUMAN	NM_016938
O95967	FBLN4_HUMAN	NM_016938
Q9H3D5	Q9H3D5_HUMAN	NM_016938
P57060	RWD2B_HUMAN	NM_016940
Q9NYW6	TA2R3_HUMAN	NM_016943
Q9NYW5	TA2R4_HUMAN	NM_016944
Q9NYV7	T2R16_HUMAN	NM_016945
Q6FIB4	Q6FIB4_HUMAN	NM_016946
Q9Y624	JAM1_HUMAN	NM_016946
Q9NPB6	PAR6A_HUMAN	NM_001037281,NM_016948
Q9BQ16	TICN3_HUMAN	NM_001040159,NM_001204352,NM_001204353,NM_001204354,NM_001204355,NM_001204356,NM_001204358,NM_001251967,NM_016950
Q4KMG0	CDON_HUMAN	NM_001243597,NM_016952
Q9HCR9	PDE11_HUMAN	NM_001077196,NM_001077197,NM_001077358,NM_016953
Q9Y458	TBX22_HUMAN	NM_001109878,NM_001109879,NM_001303475,NM_016954
Q9HD40	SPCS_HUMAN	NM_016955
Q53XI4	Q53XI4_HUMAN	NM_017409
Q9NYD6	HXC10_HUMAN	NM_017409
P31276	HXC13_HUMAN	NM_017410
Q9ULZ1	APEL_HUMAN	NM_017413
Q9UMW8	UBP18_HUMAN	NM_017414
Q9UH77	KLHL3_HUMAN	NM_001257194,NM_001257195,NM_017415
Q9NP60	IRPL2_HUMAN	NM_017416
Q9NY28	GALT8_HUMAN	NM_017417
Q9P2X7	DEC1_HUMAN	NM_017418
Q9NY37	ASIC5_HUMAN	NM_017419
Q9UIU6	SIX4_HUMAN	NM_017420
Q9NZJ6	COQ3_HUMAN	NM_017421
Q53H37	Q53H37_HUMAN	NM_017422
Q9NZT1	CALL5_HUMAN	NM_017422
Q86SF2	GALT7_HUMAN	NM_017423
Q15506	SP17_HUMAN	NM_017425
Q7Z3B4	NUP54_HUMAN	NM_001278603,NM_017426
Q9HAY6	BCDO1_HUMAN	NM_017429
A0A024R426	A0A024R426_HUMAN	NM_017431
Q9UGI9	AAKG3_HUMAN	NM_017431
Q86YD1	PTOV1_HUMAN	NM_001305105,NM_001305108,NM_017432
Q8NEV4	MYO3A_HUMAN	NM_017433
Q9NYB5	SO1C1_HUMAN	NM_001145944,NM_001145945,NM_001145946,NM_017435
Q9NPC4	A4GAT_HUMAN	NM_017436
A0A024R6H0	A0A024R6H0_HUMAN	NM_017437
Q9P2I0	CPSF2_HUMAN	NM_017437
Q9NVD3	SETD4_HUMAN	NM_001007259,NM_001007261,NM_001286752,NM_017438
A4D1B5	GSAP_HUMAN	NM_017439
B2RB22	B2RB22_HUMAN	NM_017440
Q9NR96	TLR9_HUMAN	NM_017442
A0A024R829	A0A024R829_HUMAN	NM_001278255,NM_017443
Q9NRF9	DPOE3_HUMAN	NM_001278255,NM_017443
Q9NRG0	CHRC1_HUMAN	NM_017444
Q68DA1	Q68DA1_HUMAN	NM_001100420,NM_001100421,NM_017447
Q9NYK6	EURL_HUMAN	NM_001100420,NM_001100421,NM_017447
P07864	LDHC_HUMAN	NM_002301,NM_017448
P29323	EPHB2_HUMAN	NM_004442,NM_017449
Q9UQB8	BAIP2_HUMAN	NM_001144888,NM_006340,NM_017450,NM_017451
B3KRE0	B3KRE0_HUMAN	NM_001037328,NM_004602,NM_017452,NM_017453,NM_017454
O95793	STAU1_HUMAN	NM_001037328,NM_004602,NM_017452,NM_017453,NM_017454
Q9Y639	NPTN_HUMAN	NM_001161363,NM_001161364,NM_012428,NM_017455
Q15438	CYH1_HUMAN	NM_001292018,NM_001292019,NM_004762,NM_017456
Q99418	CYH2_HUMAN	NM_004228,NM_017457
Q14764	MVP_HUMAN	NM_001293204,NM_001293205,NM_005115,NM_017458
X5D2M8	X5D2M8_HUMAN	NM_005115,NM_017458
A0A024RA94	A0A024RA94_HUMAN	NM_002403,NM_017459
P55001	MFAP2_HUMAN	NM_001135247,NM_001135248,NM_002403,NM_017459
P08684	CP3A4_HUMAN	NM_001202855,NM_017460
Q6GRK0	Q6GRK0_HUMAN	NM_001202855,NM_017460
Q9H347	UBQL3_HUMAN	NM_017481
P35612	ADDB_HUMAN	NM_001185054,NM_001185055,NM_001617,NM_017482,NM_017488
P54274	TERF1_HUMAN	NM_003218,NM_017489
A8K2S4	A8K2S4_HUMAN	NM_017490
Q7KZI7	MARK2_HUMAN	NM_001039469,NM_001163296,NM_001163297,NM_004954,NM_017490
O75083	WDR1_HUMAN	NM_005112,NM_017491
V9HWG7	V9HWG7_HUMAN	NM_017491
Q01804	OTUD4_HUMAN	NM_001102653,NM_017493
Q15527	SURF2_HUMAN	NM_001278928,NM_017503
Q96R27	OR2M4_HUMAN	NM_017504
Q15622	OR7A5_HUMAN	NM_017506
P16415	ZN823_HUMAN	NM_001080493,NM_001297610,NM_017507
Q6UBM2	Q6UBM2_HUMAN	NM_001277081,NM_001277082,NM_017509
Q9H2R5	KLK15_HUMAN	NM_001277081,NM_001277082,NM_017509
A0A024R7M0	A0A024R7M0_HUMAN	NM_017510
Q9BVK6	TMED9_HUMAN	NM_017510
P51805	PLXA3_HUMAN	NM_017514
Q8IXU6	S35F2_HUMAN	NM_017515
Q14964	RB39A_HUMAN	NM_017516
Q99871	HAUS7_HUMAN	NM_017518
Q99549	MPP8_HUMAN	NM_017520
Q99581	FEV_HUMAN	NM_017521
Q6DT37	MRCKG_HUMAN	NM_017525
O15243	OBRG_HUMAN	NM_001198683,NM_017526
Q17RY6	LY6K_HUMAN	NM_001160354,NM_001160355,NM_017527
O43709	WBS22_HUMAN	NM_001202560,NM_017528
A0A0C4DH12	A0A0C4DH12_HUMAN	NM_001201554,NM_017530
O75541	ZN821_HUMAN	NM_001201552,NM_001201553,NM_001201554,NM_001201556,NM_017530
Q9Y623	MYH4_HUMAN	NM_017533
Q9UKX2	MYH2_HUMAN	NM_001100112,NM_017534
Q8TD57	DYH3_HUMAN	NM_017539
P22914	CRBS_HUMAN	NM_017541
A0A024R8Y1	A0A024R8Y1_HUMAN	NM_017542
Q9P215	POGK_HUMAN	NM_017542
A3F769	A3F769_HUMAN	NM_001173488,NM_017544
O15226	NKRF_HUMAN	NM_001173487,NM_001173488,NM_017544
A8K058	A8K058_HUMAN	NM_017545
Q9UJM8	HAOX1_HUMAN	NM_017545
Q9UKZ1	CNO11_HUMAN	NM_017546
Q96CU9	FXRD1_HUMAN	NM_017547
Q9UKY7	CDV3_HUMAN	NM_001134422,NM_001134423,NM_001282762,NM_001282763,NM_001282764,NM_001282765,NM_017548
Q96J80	Q96J80_HUMAN	NM_001242946,NM_017549
Q9UM22	EPDR1_HUMAN	NM_001242946,NM_001242948,NM_017549
Q8N344	MIER2_HUMAN	NM_017550
A8KAN9	A8KAN9_HUMAN	NM_017551
Q9ULK0	GRID1_HUMAN	NM_017551
B3KWS5	B3KWS5_HUMAN	NM_017552
Q9ULI0	ATD2B_HUMAN	NM_001242338,NM_017552
A0A024R9R7	A0A024R9R7_HUMAN	NM_017553
Q9ULG1	INO80_HUMAN	NM_017553
Q460N5	PAR14_HUMAN	NM_017554
Q8N546	Q8N546_HUMAN	NM_017554
Q8WUP2	FBLI1_HUMAN	NM_001024215,NM_001024216,NM_017556
Q4G0P3	HYDIN_HUMAN	NM_001198542,NM_001198543,NM_001270974,NM_017558
Q8TC99	FNDC8_HUMAN	NM_017559
P0CG23	ZN853_HUMAN	NM_017560
A1L443	NTM2F_HUMAN	NM_017561
Q8NFM7	I17RD_HUMAN	NM_017563
Q8WWQ8	STAB2_HUMAN	NM_017564
L8B8N7	L8B8N7_HUMAN	NM_017565
Q8IYA5	Q8IYA5_HUMAN	NM_001243746,NM_017565
Q96MK3	FA20A_HUMAN	NM_001243746,NM_017565
Q8TBB5	KLDC4_HUMAN	NM_001184854,NM_001184856,NM_017566
Q9UJ70	NAGK_HUMAN	NM_017567
A0A024RDW2	A0A024RDW2_HUMAN	NM_001278481,NM_001278482,NM_017569
Q8NEM7	SP20H_HUMAN	NM_001014286,NM_001278480,NM_001278481,NM_001278482,NM_017569
O14841	OPLA_HUMAN	NM_017570
Q6UW60	PCSK4_HUMAN	NM_017573
Q86US8	EST1A_HUMAN	NM_001256827,NM_001256828,NM_001282326,NM_017575
Q86VH2	KIF27_HUMAN	NM_001271927,NM_001271928,NM_017576
Q8IYS0	GRM1C_HUMAN	NM_001172105,NM_017577
Q9HAT0	ROP1A_HUMAN	NM_017578
Q9UGM3	DMBT1_HUMAN	NM_004406,NM_007329,NM_017579
Q9UGI0	ZRAN1_HUMAN	NM_017580
Q9UGM1	ACHA9_HUMAN	NM_017581
Q7Z7E8	UB2Q1_HUMAN	NM_017582
Q96DX7	TRI44_HUMAN	NM_017583
Q9UGB7	MIOX_HUMAN	NM_017584
Q9UGQ3	GTR6_HUMAN	NM_001145099,NM_017585
Q9UGQ2	FLOWR_HUMAN	NM_001135775,NM_001242369,NM_001242370,NM_017586
Q9NY30	BTG4_HUMAN	NM_017589
Q9UGR2	Z3H7B_HUMAN	NM_017590
B4DUA7	B4DUA7_HUMAN	NM_017592
Q9NX70	MED29_HUMAN	NM_017592
Q96HU8	DIRA2_HUMAN	NM_017594
A0A024R1Z4	A0A024R1Z4_HUMAN	NM_001001349,NM_001144927,NM_017595
Q9NYR9	KBRS2_HUMAN	NM_001001349,NM_001144927,NM_001144928,NM_001144929,NM_017595
O75037	KI21B_HUMAN	NM_001252100,NM_001252102,NM_001252103,NM_017596
Q9HBM0	VEZA_HUMAN	NM_017599
A0A024QZ09	A0A024QZ09_HUMAN	NM_017602
Q96G74	OTUD5_HUMAN	NM_001136157,NM_001136158,NM_001136159,NM_017602
Q9BZL4	PP12C_HUMAN	NM_001271618,NM_017607
A0A024R5T5	A0A024R5T5_HUMAN	NM_017610
Q6ZNA4	RN111_HUMAN	NM_001270528,NM_001270529,NM_001270530,NM_017610
Q6NZY4	ZCHC8_HUMAN	NM_017612
Q9NYP3	DONS_HUMAN	NM_017613
A0A024RAQ0	A0A024RAQ0_HUMAN	NM_017614
Q9H2M3	BHMT2_HUMAN	NM_001178005,NM_017614
Q9NXX6	NSE4A_HUMAN	NM_001167865,NM_017615
P46531	NOTC1_HUMAN	NM_017617
Q96LT9	RBM40_HUMAN	NM_017619
Q9NXW9	ALKB4_HUMAN	NM_017621
Q96GS4	CQ059_HUMAN	NM_017622
Q8WWA0	ITLN1_HUMAN	NM_017625
J3KPS0	J3KPS0_HUMAN	NM_001002762,NM_017626
Q9NXW2	DJB12_HUMAN	NM_001002762,NM_017626
A0A024RDF7	A0A024RDF7_HUMAN	NM_017628
Q6N021	TET2_HUMAN	NM_001127208,NM_017628
Q9HCK5	AGO4_HUMAN	NM_017629
Q6B0F7	Q6B0F7_HUMAN	NM_017631
Q8IY21	DDX60_HUMAN	NM_017631
Q9H616	Q9H616_HUMAN	NM_017631
Q9NXV7	Q9NXV7_HUMAN	NM_017631
Q9NXV6	CARF_HUMAN	NM_017632
Q96IP4	FA46A_HUMAN	NM_017633
Q7L273	KCTD9_HUMAN	NM_017634
Q4FZB7	SV421_HUMAN	NM_001300909,NM_016028,NM_017635
Q8TD43	TRPM4_HUMAN	NM_001195227,NM_017636
Q6ZN30	BNC2_HUMAN	NM_017637
Q9BUE0	MED18_HUMAN	NM_001127350,NM_017638
Q6V1P9	PCD23_HUMAN	NM_001142552,NM_017639
Q5VZK9	LR16A_HUMAN	NM_017640
Q7Z4S6	KI21A_HUMAN	NM_001173463,NM_001173464,NM_001173465,NM_017641
Q05BQ5	MBTD1_HUMAN	NM_017643
Q6TFL4	KLH24_HUMAN	NM_017644
Q7Z4H7	HAUS6_HUMAN	NM_001270890,NM_017645
Q53F11	Q53F11_HUMAN	NM_017646
Q9H3H1	MOD5_HUMAN	NM_017646
Q8IY81	SPB1_HUMAN	NM_017647
Q9ULJ8	NEB1_HUMAN	NM_001166160,NM_001166161,NM_001166162,NM_001166163,NM_017650
Q8N157	AHI1_HUMAN	NM_001134830,NM_001134831,NM_001134832,NM_017651
Q9NXT0	ZN586_HUMAN	NM_001077426,NM_001204814,NM_017652
Q7RTS9	DYM_HUMAN	NM_017653
Q5K651	SAMD9_HUMAN	NM_001193307,NM_017654
Q8TF65	GIPC2_HUMAN	NM_001304725,NM_017655
Q6V9R5	ZN562_HUMAN	NM_001130031,NM_001130032,NM_001300885,NM_017656
Q53GW0	Q53GW0_HUMAN	NM_017657
Q9NXS3	KLH28_HUMAN	NM_017658
Q9NXS2	QPCTL_HUMAN	NM_001163377,NM_017659
A0A024R7K7	A0A024R7K7_HUMAN	NM_017660
Q86YP4	P66A_HUMAN	NM_001300946,NM_017660
Q6N043	Z280D_HUMAN	NM_001002843,NM_001002844,NM_001288588,NM_001288589,NM_017661
Q9BX84	TRPM6_HUMAN	NM_001177310,NM_001177311,NM_017662
A0A024RE01	A0A024RE01_HUMAN	NM_017664
Q9NXR5	ANR10_HUMAN	NM_001286721,NM_017664
B4DU89	B4DU89_HUMAN	NM_001300816,NM_001300817,NM_001300818,NM_001300819,NM_001300822,NM_001308127,NM_001308129,NM_001308130,NM_017665
Q8TBK6	ZCH10_HUMAN	NM_001300816,NM_001300817,NM_001300818,NM_001300819,NM_001300822,NM_001308127,NM_001308128,NM_001308129,NM_001308130,NM_017665
Q8ND82	Z280C_HUMAN	NM_017666
Q9NXR1	NDE1_HUMAN	NM_001143979,NM_017668
X5DR54	X5DR54_HUMAN	NM_001143979,NM_017668
Q2NKX8	ERC6L_HUMAN	NM_017669
B3KUV5	B3KUV5_HUMAN	NM_017670
Q96FW1	OTUB1_HUMAN	NM_017670
Q49AC8	Q49AC8_HUMAN	NM_017671
Q54A15	Q54A15_HUMAN	NM_017671
Q9BQL6	FERM1_HUMAN	NM_017671
